MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
1.9162900277776758,0.9752230365873739,6.984126984126984,1.0238095238095237,-1.618361718298962,2.5555555555555554,37.88,-122.23,1.7180783147068075
1.909694459275102,-0.5667346423107624,6.238137082601054,0.9718804920913884,1.0900615619821747,2.109841827768014,37.86,-122.22,1.262940828066713
1.6019781478619006,1.757447357925116,8.288135593220339,1.073446327683616,-1.1390468146146024,2.8022598870056497,37.85,-122.24,1.2283136588537076
1.0359673265146507,1.757447357925116,5.8173515981735155,1.0730593607305936,-0.9996766729127174,2.547945205479452,37.85,-122.25,1.1686109773624145
0.19802572420164224,1.757447357925116,6.281853281853282,1.0810810810810811,-0.9846972387146218,2.1814671814671813,37.85,-122.25,1.1736488850244127
0.30214623499419624,1.757447357925116,4.761658031088083,1.1036269430051813,-1.3481962896683173,2.139896373056995,37.85,-122.25,0.7248144771829603
0.09115027546442926,1.757447357925116,4.9319066147859925,0.9513618677042801,-0.12430169879724956,2.1284046692607004,37.84,-122.25,0.9188624835882417
-0.24720477219304052,1.757447357925116,4.797527047913447,1.061823802163833,-0.04504870879133906,1.7882534775888717,37.84,-122.25,0.5203376754548057
-1.0858061439234536,1.04785483655214,4.294117647058823,1.1176470588235294,0.014342256316914222,2.026890756302521,37.84,-122.26,0.4056984064179627
0.10983441379492795,1.757447357925116,4.970588235294118,0.9901960784313726,0.3872973139022763,2.172268907563025,37.84,-122.25,0.6647460182189131
-0.19173916478346067,1.757447357925116,5.477611940298507,1.0796019900497513,-0.37770880185018546,2.263681592039801,37.85,-122.26,0.8045621784851649
-0.14770528975524502,1.757447357925116,4.772479564032698,1.0245231607629428,0.3404855422981418,2.0490463215258856,37.85,-122.26,0.5233708032468027
-0.27780335761424063,1.757447357925116,5.322649572649572,1.0128205128205128,-0.11916748045989582,2.3461538461538463,37.85,-122.26,0.29707112204966324
-0.5703544506295477,1.757447357925116,4.0,1.0977011494252873,-1.5450542705506896,1.9827586206896552,37.84,-122.26,0.10035661121223255
-1.2516688662291189,1.757447357925116,4.262903225806451,1.0096774193548388,0.021487178982287695,1.9548387096774194,37.85,-122.26,-0.22277532614633924
-1.0426760516155154,1.6177791203318863,4.242424242424242,1.071969696969697,-0.7256917324319682,2.640151515151515,37.85,-122.26,-0.4445026065686733
-0.49286290049085546,1.757447357925116,5.9395770392749245,1.0483383685800605,-0.5600316402593396,2.395770392749245,37.85,-122.27,-0.2973514383767476
-1.047278125872612,1.757447357925116,4.052805280528053,0.966996699669967,-0.8170709329500406,2.1386138613861387,37.85,-122.27,-0.2636117012465599
-1.1747507079312018,1.6177791203318863,5.343675417661098,1.0859188544152745,-0.263124267006363,2.3627684964200477,37.84,-122.26,-0.22824490218874727
-0.6256631102199981,1.757447357925116,5.465454545454546,1.0836363636363637,-0.7384389825440075,2.5090909090909093,37.84,-122.27,-0.18276135476661842
-1.9359922933672316,0.9022527609976646,4.524096385542169,1.108433734939759,-1.3590609322141622,2.463855421686747,37.85,-122.27,-0.3548975309892595
-1.4764824392486586,1.04785483655214,4.478142076502732,1.0027322404371584,-0.3498182247664442,2.5382513661202184,37.85,-122.27,-0.21623164660541816
-1.4631280273557294,1.757447357925116,5.096234309623431,1.1317991631799162,-0.22877124108229263,2.1234309623430963,37.84,-122.27,-0.793107811619264
-0.9900464742897208,1.757447357925116,5.193846153846154,1.0369230769230768,-0.46414155158400655,2.624615384615385,37.84,-122.27,-1.013372273521467
-0.6282926229973669,1.757447357925116,5.270142180094787,1.0355450236966826,-0.24106306067942332,2.3838862559241707,37.84,-122.27,-0.5371298197991469
-0.7903578681838409,0.9752230365873739,4.495798319327731,1.0336134453781514,-1.6348249069446332,2.6638655462184873,37.85,-122.28,-0.8892194741884194
-0.7429931573184465,1.5475472608593683,4.7280334728033475,1.0209205020920502,-0.8976823855398496,2.5397489539748954,37.85,-122.28,-1.113063890508775
-1.3690760056177151,1.757447357925116,4.7808564231738035,1.0604534005037782,-0.11404753640745821,2.7758186397984885,37.85,-122.28,-0.920282215405271
-1.5609037554736493,1.6177791203318863,4.40169133192389,1.040169133192389,-0.07734654455888776,2.3911205073995774,37.84,-122.28,-0.8677751366461531
-1.5069779508659378,1.757447357925116,4.703225806451613,1.032258064516129,-1.397738526427434,2.5483870967741935,37.84,-122.28,-0.5448369632161325
-1.240441333997033,1.5475472608593683,5.068783068783069,1.1825396825396826,-0.4486650420182566,2.2830687830687832,37.84,-122.28,-0.6738931022137816
-1.2050343701041315,1.757447357925116,4.882086167800454,1.090702947845805,-0.031551064423343676,2.6485260770975056,37.84,-122.28,-0.7741648141736399
-1.3814238234220058,1.477041658141375,5.737313432835821,1.2208955223880598,-0.21386051244134327,3.062686567164179,37.84,-122.27,-0.8450651812327821
-1.9113797566606203,1.5475472608593683,5.0303951367781155,1.1124620060790273,-0.625375897341103,2.291793313069909,37.83,-122.27,-0.9297015452466788
-0.5267006214206383,1.68774374341006,4.972014925373134,1.0708955223880596,0.07538551483603942,2.3470149253731343,37.83,-122.27,-0.8556293315552068
-1.7588299451651783,1.5475472608593683,4.6022727272727275,1.0681818181818181,-0.9740842500955821,2.159090909090909,37.83,-122.27,-1.0549666132405773
-2.3484185527759376,1.477041658141375,4.807486631016043,1.1550802139037433,-0.26729103195762605,2.6390374331550803,37.83,-122.27,-0.9360073302791956
-1.8617314383883288,1.757447357925116,3.7493796526054592,0.967741935483871,-0.3910757017315542,2.235732009925558,37.83,-122.28,-0.9455057332060913
